Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2023,4609621,Chm 21,Kentucky (East),Jackson,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Contract Highwall Mining, Llc","P.O. Box 293, Whitman, WV 25652",,Appalachia Central,"64,449",4,"6,387"
2023,1517059,Prep Plant # 1,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Preparation Plant,"Jt Reclaim, Llc","81 Enterprise Drive, Debord, KY 41214",,Appalachia Central,0,3,"7,323"
2023,1517059,Prep Plant # 1,Kentucky (East),Johnson,Active,Underground,Independent Producer Operator,Preparation Plant,"Jt Reclaim, Llc","81 Enterprise Drive, Debord, KY 41214",,Appalachia Central,0,3,"7,322"
2023,1519538,Job 5,Kentucky (East),Johnson,Active,Surface,Contractor,Mine only,"Ridgeline Coal, Llc","P.O. Box 2121, Pikeville, KY 41502",,Appalachia Central,"3,60,822",40,"96,693"
2023,1519548,Surface #4,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,Mine Rite Coal Co Inc,"190 Ky Rt 689 E, Flat Gap, KY 41219",,Appalachia Central,"10,522",7,"5,109"
2023,1516858,Pioneer Preparation Plant,Kentucky (East),Knott,Active,Surface,Independent Producer Operator,Preparation Plant,B&w Resources Inc.,"300 Liperote Way, London, KY 40741",,Appalachia Central,0,7,"17,114"
2023,1517724,Raven Prep Plant,Kentucky (East),Knott,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,"Cbd Resources, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,0,2,"4,043"
2023,1517724,Raven Prep Plant,Kentucky (East),Knott,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,"Cbd Resources, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,0,1,"4,042"
2023,1518793,#1,Kentucky (East),Knott,Active,Underground,Independent Producer Operator,Mine only,"Adella Coal, Inc","P.O. Box 1324, Hindman, KY 41822",,Appalachia Central,"44,583",15,"19,367"
2023,1519766,Alum Cave #17,Kentucky (East),Knott,Active,Surface,Independent Producer Operator,Mine only,B&w Resources Inc.,"300 Liperote Way, London, KY 40741",,Appalachia Central,"3,00,527",44,"1,03,973"
2023,1519878,Strip,Kentucky (East),Knott,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Jrc Mining, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,"4,132",1,120
2023,1519880,Strip #2,Kentucky (East),Knott,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Jrc Mining, Inc.","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,"1,177",5,"3,230"
2023,1518426,Mine #5,Kentucky (East),Knox,Active,Underground,Independent Producer Operator,Mine only,"Ferroglobe Usa Mining, Llc","332 West Cumberland Gap Parkwa, Corbin, KY 40701",,Appalachia Central,"27,146",20,"60,532"
2023,1518730,Chm -102,Kentucky (East),Knox,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Contract Highwall Mining Llc,"P.O. Box 1469, Pikeville, KY 41502",,Appalachia Central,"6,539",3,"2,444"
2023,1519324,Mountainside Wash Plant,Kentucky (East),Knox,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,Mountainside Coal Company Inc,"7692 S. Hwy 25w, Williamsburg, KY 40769",,Appalachia Central,0,5,"3,091"
2023,1519324,Mountainside Wash Plant,Kentucky (East),Knox,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,Mountainside Coal Company Inc,"7692 S. Hwy 25w, Williamsburg, KY 40769",,Appalachia Central,0,5,"3,091"
2023,1513418,Dredge #1,Kentucky (East),Lawrence,Active,Surface,Independent Producer Operator,Mine only,Big Sandy Resources Inc,"31 Emerald Lane, Louisa, KY 41230",,Appalachia Central,"1,129",3,"4,025"
2023,1512753,Calvary No 81,Kentucky (East),Leslie,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Mining Llc Dba Bl,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,"3,81,583",126,"3,09,747"
2023,1519441,Aces Branch Mine #9,Kentucky (East),Leslie,Active,Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"300 Liperote Way, London, KY 40741",,Appalachia Central,"2,17,706",27,"65,764"
2023,1512914,Sapphire Prep Plant,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,Smoky Quartz,"799 Hwy 3459, Harlan, KY 40831",,Appalachia Central,0,1,"3,248"
2023,1512914,Sapphire Prep Plant,Kentucky (East),Letcher,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,Smoky Quartz,"799 Hwy 3459, Harlan, KY 40831",,Appalachia Central,0,6,"12,990"
